Row,r all freqs pre/post linenoise reduction,r 50 hz pre/post linenoise reduction,r 55 hz pre/post linenoise reduction,r 58 hz pre/post linenoise reduction,r 59 hz pre/post linenoise reduction,r 60 hz pre/post linenoise reduction,r 61 hz pre/post linenoise reduction,r 62 hz pre/post linenoise reduction,r 65 hz pre/post linenoise reduction,r 70 hz pre/post linenoise reduction,RMSE post/pre waveleting,MAE post/pre waveleting,SNR post/pre waveleting,PeakSNR post/pre waveleting,r alldata post/pre waveleting,r 2 hz post/pre waveleting,r 5 hz post/pre waveleting,r 8 hz post/pre waveleting,r 12 hz post/pre waveleting,r 20 hz post/pre waveleting,r 30 hz post/pre waveleting,r 45 hz post/pre waveleting,r 70 hz post/pre waveleting
"MOD1578_Y1_a.BDF_czRef_child.set",0.999977361365872,0.999933940862719,0.999716845631902,0.998813430188588,0.991204130945931,0.883314975040798,0.980990405241729,0.998846966440759,0.999535268377469,0.999807103025718,48115.2165935315,23547.331150677,-45.5063965462194,-30.0323663603275,0.019818127396111,0.217119081303083,0.293724883899221,0.272854921650887,0.214297540843394,0.192218692591696,0.185147035680713,0.00480356115959152,0.00847725389985964
"MOD1669_Y1_a.BDF_czRef_child.set",0.999999707209753,0.999944716391274,0.999793851274634,0.998024349263799,0.985039155401326,0.398312815583063,0.971148555255189,0.993732993181116,0.998436416890257,0.999845785129885,107.125656563882,53.9605164317379,-10.2036045004546,3.19276986179738,0.250444145557331,0.7191608050243,0.765347603690036,0.842983201217426,0.815334319474238,0.839525245130411,0.879978626774073,0.0355920613206026,0.0544028524399408
"MOD1675_Y1_a.BDF_czRef_child.set",0.999998589672527,0.999999844799623,0.999999431160321,0.999998260189569,0.999978182207175,0.98639576498114,0.999958051416824,0.999997485031974,0.999999474640752,0.999999499228206,4098.07929073579,164.502703277599,-44.1655215438757,-30.3105805854027,0.00567768569055438,0.000178637525505484,0.000399497734535608,0.000571304460089716,0.000375393166122523,0.000104430981463173,5.66120722992982e-05,0.000674649982219542,0.00207238799496751
"MOD1689_Y1_a.BDF_czRef_child.set",0.999999997882209,0.999997970056826,0.999990280660198,0.999895203792846,0.994399423914252,0.977454848095467,0.992708459016358,0.999784271622076,0.999969080259919,0.99999480370514,38.2433121285397,28.4209634962495,-2.02337719196019,10.6088517992344,0.571964566707262,0.963338691312276,0.979294007327124,0.975764894115296,0.947246359730102,0.946786801232538,0.946987120824105,0.209364627965679,0.269364220922192
"MOD1699_Y1_a.BDF_czRef_child.set",0.999775323130359,0.999962486935131,0.999837804878369,0.998940930948393,0.986163801541538,0.888421357492752,0.985663682297081,0.998604567586947,0.999750228817746,0.999932051151023,72.307970269479,45.8068147430787,-6.94806262753702,6.22884418947243,0.300176176409858,0.835789548252063,0.849147270776924,0.853558276905733,0.818021439329526,0.834283678571618,0.861520841470797,0.0638871853990438,0.113911161067046
"MOD1707_Y1_a.BDF_czRef_child.set",0.999999800198379,0.999990484165711,0.999958847126084,0.999654448872195,0.992762279443878,0.946052308608268,0.990341928722361,0.999448323046945,0.999885291511984,0.999970240409329,337.218351521851,78.4632294677307,-19.4584184790358,-6.34764252892748,0.0707118632080641,0.434423239018116,0.55126269176891,0.54184778369662,0.532308260223657,0.602556975599241,0.660493355133452,0.0122176425061711,0.0167079162634934
"MOD1711_Y1_a.BDF_czRef_child.set",0.999999338882774,0.999976100218848,0.999891439761736,0.999203681089842,0.990514168522365,0.955790095027037,0.991727452775311,0.999273168006967,0.999814664014682,0.999932492289432,340.869007684816,135.198318566743,-20.5838843236936,-7.38540171808316,0.104172319013735,0.499221373908345,0.711091668083672,0.728107296087224,0.59749711182799,0.630736308974691,0.618678912626984,0.0503188588427513,0.0166070454639096
"MOD1714_Y1_a.BDF_czRef_child.set",0.999999894193086,0.999976016008665,0.999886182676118,0.999029716787151,0.986753245730203,0.734143541802903,0.98139917652755,0.997973836475337,0.999644688048102,0.999940643690369,49.0530537981206,31.4939974465924,-5.79943203071428,7.71970878205098,0.457665769549747,0.630636774210175,0.672797574584312,0.742357239255803,0.603588421193129,0.658938807619686,0.665128593572632,0.0138201822950287,0.0302009110956036
"MOD1729_Y1_a.BDF_czRef_child.set",0.999999755487455,0.999935631869415,0.999740613785271,0.997865878733754,0.9726109720948,0.448002192816366,0.969626543021966,0.996440522956236,0.999263975083461,0.999868397161969,79.6982739610993,40.028135392043,-9.70176424011367,3.36954489522473,0.298031839166869,0.673650452878014,0.670528276828583,0.759684900891744,0.752070547970837,0.865485160393846,0.948971298846356,0.0351096944832911,0.0524648984833959
"MOD1731_Y1_a.BDF_czRef_child.set",0.999999965105521,0.999990414326605,0.999951230004509,0.999568633781147,0.981701006005707,0.87151113871563,0.985639518385481,0.999213963209188,0.999841243787972,0.999976349127029,32.8377656215994,18.055714517141,-1.36910017927638,11.8413791211241,0.472780652504252,0.921095161672511,0.911207698944805,0.93338885578659,0.898937494906597,0.919886809674092,0.939881282449273,0.287057255847454,0.308224247685467
